code,name,score,rating,action,reasons,close,risk
000016.SH,上证50,30,★★★ 强烈买入,分批建仓(回踩确认),"['多头趋势回踩支撑', 'RSI未过热']",2967.5034,"{'stop_loss': np.float64(2921.31), 'take_profit': np.float64(3013.69), 'take_profit_2': np.float64(3059.88), 'atr': np.float64(30.79)}"
000913.SH,300医药,30,★★★ 强烈买入,分批建仓(回踩确认),"['多头趋势回踩支撑', 'RSI未过热']",8093.9867,"{'stop_loss': np.float64(7874.52), 'take_profit': np.float64(8313.45), 'take_profit_2': np.float64(8532.92), 'atr': np.float64(146.31)}"
000937.SH,800公用,30,★★★ 强烈买入,分批建仓(回踩确认),"['多头趋势回踩支撑', 'RSI未过热']",2678.7539,"{'stop_loss': np.float64(2619.52), 'take_profit': np.float64(2737.99), 'take_profit_2': np.float64(2797.22), 'atr': np.float64(39.49)}"
000995.SH,全指公用,30,★★★ 强烈买入,分批建仓(回踩确认),"['多头趋势回踩支撑', 'RSI未过热']",2805.1226,"{'stop_loss': np.float64(2740.95), 'take_profit': np.float64(2869.29), 'take_profit_2': np.float64(2933.46), 'atr': np.float64(42.78)}"
399373.SZ,大盘价值,30,★★★ 强烈买入,分批建仓(回踩确认),"['多头趋势回踩支撑', 'RSI未过热']",8345.1056,"{'stop_loss': np.float64(8233.43), 'take_profit': np.float64(8456.78), 'take_profit_2': np.float64(8568.46), 'atr': np.float64(74.45)}"
399375.SZ,中盘价值,30,★★★ 强烈买入,分批建仓(回踩确认),"['多头趋势回踩支撑', 'RSI未过热']",6717.6306,"{'stop_loss': np.float64(6570.14), 'take_profit': np.float64(6865.12), 'take_profit_2': np.float64(7012.61), 'atr': np.float64(98.33)}"
399438.SZ,绿色电力,30,★★★ 强烈买入,分批建仓(回踩确认),"['多头趋势回踩支撑', 'RSI未过热']",2248.207,"{'stop_loss': np.float64(2189.51), 'take_profit': np.float64(2306.9), 'take_profit_2': np.float64(2365.59), 'atr': np.float64(39.13)}"
399986.SZ,中证银行,30,★★★ 强烈买入,分批建仓(回踩确认),"['多头趋势回踩支撑', 'RSI未过热']",7322.3879,"{'stop_loss': np.float64(7201.64), 'take_profit': np.float64(7443.14), 'take_profit_2': np.float64(7563.89), 'atr': np.float64(80.5)}"
399991.SZ,一带一路,30,★★★ 强烈买入,分批建仓(回踩确认),"['多头趋势回踩支撑', 'RSI未过热']",3495.7707,"{'stop_loss': np.float64(3373.7), 'take_profit': np.float64(3592.26), 'take_profit_2': np.float64(3688.76), 'atr': np.float64(64.33)}"
000001.SH,上证指数,20,★★ 关注,轻仓试错,"['多头趋势回踩支撑', 'RSI偏高']",4107.5144,"{'stop_loss': np.float64(4044.96), 'take_profit': np.float64(4170.07), 'take_profit_2': np.float64(4232.62), 'atr': np.float64(41.7)}"
399324.SZ,深证红利,20,★★ 关注,轻仓试错,"['多头趋势回踩支撑', 'RSI偏高']",9382.175,"{'stop_loss': np.float64(9218.99), 'take_profit': np.float64(9545.36), 'take_profit_2': np.float64(9708.55), 'atr': np.float64(108.79)}"
000852.SH,中证1000,5,观望,持有,['RSI未过热'],8343.0651,"{'stop_loss': np.float64(8116.52), 'take_profit': np.float64(8569.61), 'take_profit_2': np.float64(8796.15), 'atr': np.float64(151.03)}"
000905.SH,中证500,5,观望,持有,['RSI未过热'],8342.4217,"{'stop_loss': np.float64(8115.92), 'take_profit': np.float64(8568.92), 'take_profit_2': np.float64(8795.42), 'atr': np.float64(151.0)}"
000936.SH,800通信,5,观望,持有,['RSI未过热'],12238.2028,"{'stop_loss': np.float64(11174.29), 'take_profit': np.float64(12778.61), 'take_profit_2': np.float64(13319.01), 'atr': np.float64(360.27)}"
000994.SH,全指通信,5,观望,持有,['RSI未过热'],13737.8039,"{'stop_loss': np.float64(12455.95), 'take_profit': np.float64(14351.06), 'take_profit_2': np.float64(14964.32), 'atr': np.float64(408.84)}"
399018.SZ,创业创新,5,观望,持有,['RSI未过热'],6500.523,"{'stop_loss': np.float64(6298.88), 'take_profit': np.float64(6702.17), 'take_profit_2': np.float64(6903.81), 'atr': np.float64(134.43)}"
399276.SZ,创科技,5,观望,持有,['RSI未过热'],8942.6991,"{'stop_loss': np.float64(8507.22), 'take_profit': np.float64(9253.38), 'take_profit_2': np.float64(9564.06), 'atr': np.float64(207.12)}"
399283.SZ,机器人50,5,观望,持有,['RSI未过热'],4653.3404,"{'stop_loss': np.float64(4473.36), 'take_profit': np.float64(4802.23), 'take_profit_2': np.float64(4951.11), 'atr': np.float64(99.26)}"
399284.SZ,AI 50,5,观望,持有,['RSI未过热'],3957.9906,"{'stop_loss': np.float64(3817.03), 'take_profit': np.float64(4098.95), 'take_profit_2': np.float64(4239.91), 'atr': np.float64(93.97)}"
399295.SZ,创价值,5,观望,持有,['RSI未过热'],5634.6347,"{'stop_loss': np.float64(5476.34), 'take_profit': np.float64(5792.93), 'take_profit_2': np.float64(5951.22), 'atr': np.float64(105.53)}"
399303.SZ,国证2000,5,观望,持有,['RSI未过热'],10930.0073,"{'stop_loss': np.float64(10627.29), 'take_profit': np.float64(11232.72), 'take_profit_2': np.float64(11535.44), 'atr': np.float64(201.81)}"
000015.SH,红利指数,-5,★★★ 回避,观望,['RSI偏高'],3345.0018,"{'stop_loss': np.float64(3231.34), 'take_profit': np.float64(3406.08), 'take_profit_2': np.float64(3467.17), 'atr': np.float64(40.72)}"
000300.SH,沪深300,-5,★★★ 回避,观望,['RSI偏高'],4810.3468,"{'stop_loss': np.float64(4651.67), 'take_profit': np.float64(4898.46), 'take_profit_2': np.float64(4986.57), 'atr': np.float64(58.74)}"
000690.SH,科创成长,-5,★★★ 回避,观望,['RSI偏高'],2216.366,"{'stop_loss': np.float64(2007.66), 'take_profit': np.float64(2308.61), 'take_profit_2': np.float64(2400.85), 'atr': np.float64(61.49)}"
000698.SH,科创100,-5,★★★ 回避,观望,['RSI偏高'],1717.0862,"{'stop_loss': np.float64(1599.38), 'take_profit': np.float64(1781.4), 'take_profit_2': np.float64(1845.72), 'atr': np.float64(42.88)}"
000827.SH,中证环保,-5,★★★ 回避,观望,['RSI偏高'],2090.7409,"{'stop_loss': np.float64(1993.04), 'take_profit': np.float64(2156.15), 'take_profit_2': np.float64(2221.55), 'atr': np.float64(43.6)}"
000903.SH,中证100,-5,★★★ 回避,观望,['RSI偏高'],4726.2853,"{'stop_loss': np.float64(4544.01), 'take_profit': np.float64(4820.62), 'take_profit_2': np.float64(4914.96), 'atr': np.float64(62.89)}"
000906.SH,中证800,-5,★★★ 回避,观望,['RSI偏高'],5416.9187,"{'stop_loss': np.float64(5253.27), 'take_profit': np.float64(5525.49), 'take_profit_2': np.float64(5634.07), 'atr': np.float64(72.38)}"
000916.SH,沪深300电信,-5,★★★ 回避,观望,['RSI偏高'],7252.9216,"{'stop_loss': np.float64(6220.53), 'take_profit': np.float64(7648.49), 'take_profit_2': np.float64(8044.06), 'atr': np.float64(263.71)}"
000985.SH,中证全指,-5,★★★ 回避,观望,['RSI偏高'],6328.3636,"{'stop_loss': np.float64(6164.91), 'take_profit': np.float64(6467.6), 'take_profit_2': np.float64(6606.83), 'atr': np.float64(92.82)}"
399001.SZ,深证成指,-5,★★★ 回避,观望,['RSI偏高'],15120.9227,"{'stop_loss': np.float64(14220.38), 'take_profit': np.float64(15524.45), 'take_profit_2': np.float64(15927.97), 'atr': np.float64(269.02)}"
399006.SZ,创业板指,-5,★★★ 回避,观望,['RSI偏高'],3687.1681,"{'stop_loss': np.float64(3363.35), 'take_profit': np.float64(3815.81), 'take_profit_2': np.float64(3944.45), 'atr': np.float64(85.76)}"
399101.SZ,中小综指,-5,★★★ 回避,观望,['RSI偏高'],15917.4611,"{'stop_loss': np.float64(15307.54), 'take_profit': np.float64(16300.23), 'take_profit_2': np.float64(16683.0), 'atr': np.float64(255.18)}"
399102.SZ,创业板综,-5,★★★ 回避,观望,['RSI偏高'],4392.3557,"{'stop_loss': np.float64(4139.12), 'take_profit': np.float64(4526.2), 'take_profit_2': np.float64(4660.05), 'atr': np.float64(89.23)}"
399106.SZ,深证综指,-5,★★★ 回避,观望,['RSI偏高'],2772.5018,"{'stop_loss': np.float64(2671.36), 'take_profit': np.float64(2841.49), 'take_profit_2': np.float64(2910.48), 'atr': np.float64(45.99)}"
399300.SZ,沪深300,-5,★★★ 回避,观望,['RSI偏高'],4810.3468,"{'stop_loss': np.float64(4651.67), 'take_profit': np.float64(4898.46), 'take_profit_2': np.float64(4986.57), 'atr': np.float64(58.74)}"
399310.SZ,国证A50,-5,★★★ 回避,观望,['RSI偏高'],8311.9896,"{'stop_loss': np.float64(7922.62), 'take_profit': np.float64(8481.59), 'take_profit_2': np.float64(8651.19), 'atr': np.float64(113.07)}"
399311.SZ,国证1000,-5,★★★ 回避,观望,['RSI偏高'],5264.1314,"{'stop_loss': np.float64(5105.75), 'take_profit': np.float64(5371.81), 'take_profit_2': np.float64(5479.48), 'atr': np.float64(71.78)}"
399372.SZ,大盘成长,-5,★★★ 回避,观望,['RSI偏高'],5663.8707,"{'stop_loss': np.float64(5342.19), 'take_profit': np.float64(5801.13), 'take_profit_2': np.float64(5938.39), 'atr': np.float64(91.51)}"
399374.SZ,中盘成长,-5,★★★ 回避,观望,['RSI偏高'],5321.2365,"{'stop_loss': np.float64(5117.09), 'take_profit': np.float64(5479.87), 'take_profit_2': np.float64(5638.5), 'atr': np.float64(105.75)}"
399376.SZ,小盘成长,-5,★★★ 回避,观望,['RSI偏高'],7218.4174,"{'stop_loss': np.float64(6921.49), 'take_profit': np.float64(7428.6), 'take_profit_2': np.float64(7638.78), 'atr': np.float64(140.12)}"
399377.SZ,小盘价值,-5,★★★ 回避,观望,['RSI偏高'],8334.6962,"{'stop_loss': np.float64(8147.04), 'take_profit': np.float64(8503.01), 'take_profit_2': np.float64(8671.33), 'atr': np.float64(112.21)}"
399928.SZ,800能源,-5,★★★ 回避,观望,['RSI偏高'],3639.2624,"{'stop_loss': np.float64(3470.12), 'take_profit': np.float64(3749.43), 'take_profit_2': np.float64(3859.59), 'atr': np.float64(73.44)}"
000685.SH,科创芯片,-20,★★★ 回避,乖离率过高,['偏离20日线10.0%，追高风险极大'],3244.2075,"{'stop_loss': np.float64(2889.86), 'take_profit': np.float64(3393.45), 'take_profit_2': np.float64(3542.69), 'atr': np.float64(99.49)}"
000688.SH,科创50,-20,★★★ 回避,乖离率过高,['偏离20日线7.1%，追高风险极大'],1493.5045,"{'stop_loss': np.float64(1404.87), 'take_profit': np.float64(1553.36), 'take_profit_2': np.float64(1613.22), 'atr': np.float64(39.9)}"
000692.SH,科创新能,-20,★★★ 回避,乖离率过高,['偏离20日线6.1%，追高风险极大'],1337.762,"{'stop_loss': np.float64(1277.83), 'take_profit': np.float64(1397.7), 'take_profit_2': np.float64(1457.63), 'atr': np.float64(39.96)}"
000915.SH,沪深300信息,-20,★★★ 回避,乖离率过高,['偏离20日线9.2%，追高风险极大'],3665.6309,"{'stop_loss': np.float64(3287.26), 'take_profit': np.float64(3809.22), 'take_profit_2': np.float64(3952.8), 'atr': np.float64(95.72)}"
